Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
2018;Нет;Исправный;32;;;2;;;;;1086875;;;;;Нет;;32;;;;;
2018;Нет;Исправный;55;;;3;;;;;1086860;;;;;Нет;;56;;;;;
1982;Нет;Исправный;176;;В+ (Высокий);5;5;9;1;;633159;3;;;;;;176;;;;;
1982;Нет;Исправный;280;;А (Очень высокий);9;9;9;1;;633160;2;;На счете регионального оператора;;;;298;;;;;
1987;Нет;Исправный;144;;В+ (Высокий);4;4;9;1;1;633161;;;На счете регионального оператора;;;;144;;;;;
2012;Нет;Исправный;112;;B;1;2;17;17;;159078;2;;;;;;224;;;;;
2008;Нет;Исправный;50;62;B;2;2;6;;;159080;24;;;;;;22;;;;;
2008;Нет;Исправный;56;65;B;2;2;6;;;159081;15;;;;;;22;;;;;
2009;Нет;Исправный;145;27;B;4;4;10;7;1;159083;5;;;;;;212;;;;;
2013;Нет;Исправный;;;;;;;;1;1247871;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1294392;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1267841;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1294430;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1286161;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1232879;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1248047;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1248366;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1273595;;;;;;Многоквартирный дом;;;;;;
1987;Нет;Исправный;60;30;С (Нормальный);3;;5;5;1;266053;;04.04.2016;;;;;30;;;;;
2014;Нет;Исправный;250;250;A;6;6;10;10;1;160369;4;;;;;;;;;;;
2011;Нет;Исправный;112;;B;1;2;17;17;;159079;2;;;;;;224;;;;;
2008;Нет;Исправный;180;44;B;4;4;10;10;1;159082;;;;;;;230;;;;;
2016;Нет;Исправный;216;28;;4;4;;;1;1159939;;;;;;;248;;;;;
2009;Нет;Исправный;144;15;B;4;4;10;;;159084;2;;;;;;187;;;;;
2009;Нет;Исправный;118;22;B;3;3;10;9;1;159085;2;;;;;;173;;;;;
2013;Нет;Исправный;;;;;;;;1;1289427;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1338279;;;;;;Многоквартирный дом;;;;;;
2013;Нет;Исправный;;;;;;;;1;1256219;;;;;;Многоквартирный дом;;;;;;
1991;Нет;Исправный;53;32;Не присвоен;1;1;9;9;1;313554;;;;0;;;16;;;;;
1978;Нет;Исправный;54;32;Не присвоен;1;1;9;9;1;313555;;;;;;;18;;;;;
1987;Нет;Исправный;81;;Не присвоен;2;;5;5;1;918137;;;На счете регионального оператора;;;;;;;;;
1988;Нет;Исправный;54;;C;1;1;9;9;1;313556;;;На счете регионального оператора;0;;;36;;;;;
1988;Нет;Исправный;108;32;C;2;2;9;9;1;313558;;;;;;;81;;;;;
1987;Нет;Исправный;56;48;Не присвоен;4;;5;5;1;313557;;;На счете регионального оператора;;;;;;;;;
1988;Нет;Исправный;108;32;C;4;4;9;9;1;313560;;;На счете регионального оператора;;;;88;;;;;
1989;Нет;Исправный;56;48;Не присвоен;4;;5;5;1;313559;1;;;;;;;;;;;
1989;Нет;Исправный;28;30;Не присвоен;2;;5;5;1;918138;1;;На счете регионального оператора;0;;;;;;;;
1989;Нет;Исправный;105;32;;2;2;;;1;313562;1;;;;;;88;;;;;
1989;Нет;Исправный;108;32;Не присвоен;2;2;9;9;1;313563;;;На счете регионального оператора;;;;88;;;;;
1988;Нет;Исправный;56;36;Не присвоен;4;;5;5;1;313564;;;На счете регионального оператора;0;;;;;;;;
1993;Нет;Исправный;40;;Не присвоен;2;;5;5;1;313565;;;На счете регионального оператора;0;;;60;;;;;
1960;Нет;Исправный;8;;;2;;;;1;1217789;;;;;;Многоквартирный дом;;48;21.06.1997;;;
1988;Нет;Исправный;56;;Не присвоен;4;;5;5;1;313567;;;;0;Нет;;;;;;;
1989;Нет;Исправный;107;4;Не присвоен;4;4;9;9;1;313566;;;На счете регионального оператора;;;;88;;;;;
2007;Нет;Исправный;72;72;Не присвоен;2;2;9;9;1;1157023;1;;На счете регионального оператора;;;;;;;;;
1989;Нет;Исправный;112;48;Не присвоен;8;;5;5;1;313569;;;На счете регионального оператора;0;;;;;;;;
2017;Нет;Исправный;119;;C;2;2;10;10;;1082809;;;Не определен;350;Нет;;;;;;;
1951;Нет;Исправный;16;10;;1;;;;1;1298120;1;;;;Нет;;;;;;;
1943;Нет;Исправный;18;12;Не присвоен;2;;3;3;1;313570;1;;На счете регионального оператора;0;;;;;;;;
1944;Нет;Исправный;18;12;Не присвоен;2;;3;3;1;313571;1;;На счете регионального оператора;0;;;;;;;;
1944;Нет;Исправный;;14;Не присвоен;2;;3;3;1;826513;;;На счете регионального оператора;0;Нет;;;;;;;
1945;Нет;Исправный;15;41;Не присвоен;2;;3;;1;918139;;;;;;;;;;;;
1943;Нет;Исправный;18;;Не присвоен;2;;3;3;1;918140;1;;На счете регионального оператора;;;;;;;;;
1943;Нет;Исправный;18;;;2;;3;3;1;918141;;;На счете регионального оператора;0;;;;;;;;
1943;Нет;Исправный;18;12;Не присвоен;2;;3;3;1;918142;1;;На счете регионального оператора;0;;;;;;;;
1941;Нет;Исправный;21;9;Не присвоен;4;;2;2;1;313576;2;;На счете регионального оператора;0;;;;;;;;
1944;Нет;Исправный;18;12;Не присвоен;2;;3;3;1;313577;;;На счете регионального оператора;;;;;;;;;
1941;Нет;Исправный;88;29;Не присвоен;17;;4;4;1;313578;10;;;;;;14;;;;;
1942;Нет;Исправный;42;20;Не присвоен;5;;3;3;1;313579;2;;На счете регионального оператора;0;;;;;;;;
1946;Нет;Исправный;31;11;Не присвоен;2;;4;4;1;313580;1;;На счете регионального оператора;0;;;;;;;;
1946;Нет;Исправный;16;9;Не присвоен;2;;2;2;;926379;;;На счете регионального оператора;;;;;;;;;
1946;Нет;Исправный;36;17;Не присвоен;3;;3;3;1;313581;1;;На счете регионального оператора;0;;;;;;;;
;Нет;Исправный;;;;1;;2;;1;540512;;;;;;;;;;;;
1947;Нет;Исправный;42;18;Не присвоен;4;;3;3;1;313582;1;;На счете регионального оператора;0;;;;;;;;
1945;Нет;Исправный;36;11;E;3;;3;3;1;437308;;;На счете регионального оператора;0;;;;;;;;
1946;Нет;Исправный;24;4;Не присвоен;3;;2;2;1;363853;;;На счете регионального оператора;0;;;;;;;;
1946;Нет;Исправный;24;5;E;3;;2;2;1;437309;;;;;;;;;;;;
1945;Нет;Исправный;36;12;E;3;;3;3;1;437310;;;На счете регионального оператора;0;;;;;;;;
1947;Нет;Исправный;3;;;1;;2;;1;942891;1;;;;Нет;;;;;;;
1947;Нет;Исправный;16;9;;2;;2;;1;942892;;;;;Нет;;;;;;;
1947;Нет;Исправный;54;31;Не присвоен;4;;3;3;1;313583;2;;На счете регионального оператора;0;;;;;;;;
1948;Нет;Исправный;15;;Не присвоен;2;;3;;1;918146;1;;;;;;;;;;;
1948;Нет;Исправный;23;20;Не присвоен;4;;3;3;1;313584;7;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;18;;Не присвоен;3;;2;2;;918151;;;На счете регионального оператора;0;Нет;;;;;;;
1951;Нет;Исправный;18;;Не присвоен;3;;2;2;1;918156;;;На счете регионального оператора;;;Многоквартирный дом;;;;;;
1952;Нет;Исправный;;;Не присвоен;3;;2;2;;918158;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1951;Нет;Исправный;12;;;2;;;;1;1230802;1;;;;Нет;Многоквартирный дом;;43;;;;
1951;Нет;Исправный;12;4;;2;;;;1;1279771;;;;;Нет;Многоквартирный дом;;24;;;;
1951;Нет;Исправный;12;6;;2;;;;1;1223184;;;;;Нет;Многоквартирный дом;;26;;;;
1993;Нет;Исправный;40;20;Не присвоен;2;;5;5;1;313586;;;На счете регионального оператора;0;;;20;;;;;
1988;Нет;Исправный;80;40;Не присвоен;4;;5;5;1;313585;;;На счете регионального оператора;0;;;40;;;;;
1948;Нет;Исправный;22;14;Не присвоен;3;;2;2;1;918159;;;На счете регионального оператора;;;;;;;;;
2008;Нет;Исправный;45;15;;3;;;;1;1154364;3;;;;Нет;Многоквартирный дом;30;;;;;
1981;Нет;Исправный;70;52;Не присвоен;4;;5;5;;355432;;;На счете регионального оператора;160;;;;;;;;
1980;Нет;Исправный;70;52;Не присвоен;4;;5;5;;355433;;;На счете регионального оператора;0;;;;;;;;
1985;Нет;Исправный;70;56;Не присвоен;4;;5;5;;355434;;;На счете регионального оператора;0;;;;;;;;
1938;Нет;Исправный;13;10;;3;;;;1;1268276;;;;;Нет;;;;;;;
1938;Нет;Исправный;13;;;3;;;;1;1287261;;;;;Нет;Многоквартирный дом;;47;;;;
1938;Нет;Исправный;13;;;3;;;;1;1220657;;;;;Нет;Многоквартирный дом;;;;;;
1951;Да;Аварийный;;;;;;;;1;1232290;;;;;;Многоквартирный дом;;;;;;
1951;Нет;Исправный;9;6;;2;;;;1;1271070;1;;;;Нет;;;;;;;
1947;Нет;Исправный;27;;Не присвоен;2;;3;3;1;989210;3;;На счете регионального оператора;;;;;;;;;
1953;Нет;Исправный;26;26;Не присвоен;3;;3;3;;926355;3;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;30;26;Не присвоен;3;;3;3;;926354;;;На счете регионального оператора;;;;;;;;;
1956;Нет;Исправный;30;24;Не присвоен;3;;3;3;;926359;;;На счете регионального оператора;;;;;;;;;
1955;Нет;Исправный;27;18;Не присвоен;3;;3;3;;826514;;;На счете регионального оператора;;;;;;;;;
1959;Нет;Исправный;48;36;Не присвоен;3;;4;4;;363858;;;На счете регионального оператора;;;;;;;;;
1955;Нет;Исправный;26;18;Не присвоен;3;;3;3;;826515;;;;0;Нет;;;;;;;
1959;Нет;Исправный;48;36;Не присвоен;3;;4;4;;363860;;;На счете регионального оператора;;;;;;;;;
1956;Нет;Исправный;30;26;Не присвоен;3;;3;3;;926356;;;На счете регионального оператора;;;;;;;;;
1954;Нет;Исправный;12;;;2;;2;;1;918452;;;;;Нет;Многоквартирный дом;;;;;;
1954;Нет;Исправный;12;;;2;;2;;1;918453;;;;;;;;;;;;
1954;Нет;Исправный;12;;;2;;2;;1;918454;1;;;;Нет;;;;;;;
1953;Нет;Исправный;16;;Не присвоен;3;;2;;1;1301927;1;;;;;Многоквартирный дом;;45;;;;
;Нет;Исправный;16;7;Не присвоен;3;;2;;1;853453;;;;;;Многоквартирный дом;;44;;;;
1949;Нет;Исправный;14;;Не присвоен;2;;2;2;;395561;;;На счете регионального оператора;0;;;;;;;;
1949;Нет;Исправный;19;;Не присвоен;2;;2;2;;669595;1;;На счете регионального оператора;0;Нет;;;;;;;
;Нет;Исправный;;;Не присвоен;1;;2;2;1;540650;;;;0;;Многоквартирный дом;;;;;;
1949;Нет;Исправный;29;;Не присвоен;2;;2;2;;395562;1;;На счете регионального оператора;0;Нет;;;;;;;
1951;Нет;Исправный;16;;Не присвоен;2;;2;2;;669596;;;На счете регионального оператора;0;;;;;;;;
1937;Нет;Исправный;32;4;Не присвоен;3;;5;5;1;669597;3;;На счете регионального оператора;0;;;;;;;;
1941;Нет;Исправный;72;36;Не присвоен;6;;6;6;1;669598;1;;На счете регионального оператора;0;;;;;;;;
1935;Нет;Исправный;30;4;Не присвоен;3;;5;5;;669599;;;На счете регионального оператора;0;Нет;;;;;;;
1938;Нет;Исправный;40;4;Не присвоен;4;;5;5;1;669600;;;На счете регионального оператора;;;;;;;;;
